join_key,join_key_type,rule_action,rule_desc,rule_interface,rule_source,pf_rule_number,rule_tracker,rule_uuid,rule_sequence,rule_enabled
3a9bacdc-f5c0-442a-8ed9-c54b4128ecbe,uuid,pass,VLAN_IOT_DNS,opt3,download_rules,,,3a9bacdc-f5c0-442a-8ed9-c54b4128ecbe,251,1
3b8c1812-b42a-4cb1-b052-e1aebdccc36e,uuid,pass,AMP HTTP,"lan,wan",download_rules,,,3b8c1812-b42a-4cb1-b052-e1aebdccc36e,21,1
3da62aa6-d794-44cd-b438-cad7264083a7,uuid,pass,VLAN_MEDIA_NTP,opt6,download_rules,,,3da62aa6-d794-44cd-b438-cad7264083a7,361,1
3f7fea0eb7ac89d26fee92060435b28d,uuid,pass,allow access to DHCP server,VLAN_MEDIA,mvc_filter,,,3f7fea0eb7ac89d26fee92060435b28d,000001.1000038,1
3fa7e373437e751b6348e00b64654ea1,uuid,pass,LAN_TO_ROKUS,LAN,mvc_filter,,,3fa7e373437e751b6348e00b64654ea1,17,1
490798e4-9c85-4abf-a121-0084be4861bd,uuid,pass,VLAN_IOT_mDNS,opt3,download_rules,,,490798e4-9c85-4abf-a121-0084be4861bd,271,1
4a1491f9-cbe3-4d75-a5f4-2da3c3e6ac76,uuid,pass,LAN_2_VZW_InternetGW,lan,download_rules,,,4a1491f9-cbe3-4d75-a5f4-2da3c3e6ac76,101,1
4da5f2b05e69bfb95813ad594e20d0c1,uuid,pass,LAN2IOT_RADIO,LAN,mvc_filter,,,4da5f2b05e69bfb95813ad594e20d0c1,23,1
558f31d70f05e1bfb9f38a3a5bdc0196,uuid,pass,VLAN_MEDIA_mDNS,VLAN_MEDIA,mvc_filter,,,558f31d70f05e1bfb9f38a3a5bdc0196,37,1
56d97e04b8ce723a8524bdda932fe056,uuid,pass,allow access to DHCP server,LAN,mvc_filter,,,56d97e04b8ce723a8524bdda932fe056,000001.1000014,1
5bb15176-d2d4-4f92-bba6-128ebc6ac1ba,uuid,pass,VLAN_CAMS_Internet,opt5,download_rules,,,5bb15176-d2d4-4f92-bba6-128ebc6ac1ba,331,1
5c68f7d6dd7890451be671df4051464b,uuid,block,CrowdSec (IPv4) in,floating,mvc_filter,,,5c68f7d6dd7890451be671df4051464b,000001.1000010,1
5e29b570-4340-4f23-b6ab-8b2f2e302904,uuid,pass,VLAN_IOT_Internet,opt3,download_rules,,,5e29b570-4340-4f23-b6ab-8b2f2e302904,281,1
5f53b69bbeb79e33fffe73f234b46650,uuid,pass,VLAN_IOT_DNS,VLAN_IOT,mvc_filter,,,5f53b69bbeb79e33fffe73f234b46650,25,1
60533d555322b9f6a009f71c1c471480,uuid,pass,anti-lockout rule,LAN,mvc_filter,,,60533d555322b9f6a009f71c1c471480,000005.1000049,1
657a0668030aa4299b041e1f23287934,uuid,pass,LAN_DNS,LAN,mvc_filter,,,657a0668030aa4299b041e1f23287934,12,1
6631a90e-e32d-41f5-9845-dc9768f79730,uuid,pass,VLAN_CAMS_NTP,opt5,download_rules,,,6631a90e-e32d-41f5-9845-dc9768f79730,321,1
6ac77fe29668d3d947328d690f3514db,uuid,pass,LAN Minecraft hairpin,LAN,mvc_filter,,,6ac77fe29668d3d947328d690f3514db,21,1
6ae038a54b3589f44605be84fdbe7e54,uuid,block,CrowdSec (IPv6) out,floating,mvc_filter,,,6ae038a54b3589f44605be84fdbe7e54,000001.1000013,1
6b759a829e684e446cc9cd2df0ac54b1,uuid,pass,LAN_UDP_BROADCAST_RELAY,LAN,mvc_filter,,,6b759a829e684e446cc9cd2df0ac54b1,16,1
6e84da80-34c1-443d-b457-d47088a32360,uuid,pass,LAN to VZW GATEWAY,lan,download_rules,,,6e84da80-34c1-443d-b457-d47088a32360,221,1
6fc0cb75-984f-4437-97f1-dfd55aac7212,uuid,pass,P2Pool P2P network,wan,download_rules,,,6fc0cb75-984f-4437-97f1-dfd55aac7212,81,1
70725fbba63a3c1025e99a42b6d00873,uuid,pass,VPN access,WAN_ATT,mvc_filter,,,70725fbba63a3c1025e99a42b6d00873,6,1
72f7f0dfae213f33d0b74db27d6b098b,uuid,pass,OPNsense Rule,wireguard,mvc_filter,,,72f7f0dfae213f33d0b74db27d6b098b,44,1
